0-14,0x0000,0x7FFF,"readwrite"
0-14,0x8000,0x8FFF,"writethrough"
0-14,0x9000,0xAFFF,"passthrough"
0-14,0xB000,0xE7FF,"readonly"
0-14,0xE800,0xEFFF,"passthrough"
0-14,0xF000,0xFFFF,"readonly"
0,0xB000,0xBFFF,"passthrough"
5,0xB000,0xBFFF,"passthrough"
7,0x0000,0x8FFF,"passthrough"
7,0x9000,0xE7FF,"writethrough"
7,0xE800,0xEFFF,"readwrite"
7,0xF000,0xFEFF,"writethrough"
7,0xFF00,0xFFFF,"readonly"

# ----- 8-11 AIM-65
# AIM-65 RAM
8-11,0x0000,0x0FFF,"readwrite"
# AIM-65 offboard expansion
8-11,0x1000,0x3FFF,"passthrough"
8-11,0x4000,0x9FFF,"readonly"
# AIM-65 IO
8-11,0xA000,0xAFFF,"passthrough"
# AIM-65 ROMS
8-11,0xB000,0xFFFF,"readonly"

12,0x0000,0x03FF,"readwrite"
12,0x0400,0x0BFF,"writethrough"
12,0x0C00,0x1FFF,"readwrite"
12,0x2000,0x5FFF,"writethrough"
12,0x6000,0xBFFF,"readwrite"
12,0xC000,0xCFFF,"passthrough"
12,0xD000,0xFFFF,"readonly"
13,0x0000,0xCFFF,"passthrough"
13,0xD000,0xFFFF,"readonly"
14,0x0000,0x03FF,"readwrite"
14,0x0400,0x0BFF,"writethrough"
14,0x0C00,0x1FFF,"readwrite"
14,0x2000,0x5FFF,"writethrough"
14,0x6000,0xBFFF,"readwrite"
14,0xC000,0xCFFF,"passthrough"
14,0xD000,0xFFFF,"readonly"
15,0x0000,0xFFFF,"readonly"
